transaction_id,date,store_id,store_name,region,product_category,product_name,units_sold,unit_price,unit_cost,discount_pct,revenue,cost,profit,payment_method,customer_segment
TXN20972,2024-05-11,ST06,Riverside,Southeast,Beauty,Body Lotion,1,57.34,34.2,20.0,45.87,34.2,11.67,Cash,Returning
TXN4425,2023-04-13,ST02,Harborview,Northeast,Electronics,Bluetooth Speaker,2,111.83,98.88,0.0,223.66,197.76,25.9,Debit Card,VIP
TXN18450,2024-03-08,ST06,Riverside,Southeast,Groceries,Greek Yogurt,4,11.12,9.31,5.0,42.24,37.24,5.0,Debit Card,New
TXN20798,2024-05-08,ST02,Harborview,Northeast,Electronics,Laptop Stand,1,138.28,120.45,0.0,138.28,120.45,17.83,Debit Card,Returning
TXN20341,2024-04-27,ST02,Harborview,Northeast,Beauty,Hair Serum,1,14.41,8.65,5.0,13.69,8.65,5.04,Debit Card,New
TXN3484,2023-03-19,ST03,Sunset Plaza,West,Beauty,Facial Cleanser,4,42.17,29.17,5.0,160.24,116.68,43.56,Debit Card,New
TXN10647,2023-09-10,ST02,Harborview,Northeast,Home & Garden,LED Lamp,2,188.14,135.56,0.0,376.28,271.12,105.16,Credit Card,New
TXN7987,2023-07-07,ST05,Magnolia Square,Southeast,Apparel,Running Shoes,2,13.82,6.49,0.0,27.64,12.98,14.66,Credit Card,Returning
TXN29016,2024-11-16,ST01,Maple Street,Northeast,Groceries,Sparkling Water,1,34.59,31.2,0.0,34.59,31.2,3.39,Debit Card,Returning
TXN4192,2023-04-07,ST01,Maple Street,Northeast,Apparel,Denim Jacket,3,58.49,36.28,10.0,157.92,108.84,49.08,Credit Card,Returning
TXN29554,2024-11-25,ST04,Lakeview,Midwest,Electronics,Gaming Mouse,2,731.35,557.29,15.0,1243.3,1114.58,128.72,Credit Card,Returning
TXN8426,2023-07-16,ST06,Riverside,Southeast,Electronics,Smart Watch,1,396.03,324.3,0.0,396.03,324.3,71.73,Mobile Payment,New
TXN14935,2023-12-09,ST04,Lakeview,Midwest,Apparel,Casual Sneakers,1,60.13,38.13,0.0,60.13,38.13,22.0,Debit Card,VIP
TXN31636,2024-12-29,ST04,Lakeview,Midwest,Apparel,Cotton T-Shirt,1,86.44,48.04,0.0,86.44,48.04,38.4,Cash,VIP
TXN24530,2024-07-30,ST05,Magnolia Square,Southeast,Groceries,Olive Oil,2,10.8,9.57,0.0,21.6,19.14,2.46,Debit Card,Returning
TXN11266,2023-09-27,ST01,Maple Street,Northeast,Beauty,Lip Balm Set,2,15.31,9.33,0.0,30.62,18.66,11.96,Credit Card,New
TXN23214,2024-07-02,ST01,Maple Street,Northeast,Home & Garden,Storage Bin,3,66.92,40.6,0.0,200.76,121.8,78.96,Mobile Payment,Returning
